step,price,volume,anomaly
0,100.61129498773644,4600,False
1,98.54022549353319,13294,False
2,100.03037295028756,8651,False
3,101.92988385307385,7504,False
4,98.02910848547353,14233,False
5,95.50903685769508,8754,False
6,95.75354758355029,9822,False
7,95.14983180028864,9360,False
8,95.11786462523318,5912,False
9,93.5088350465442,3390,False
10,95.16801265415518,16717,False
11,96.6600054222216,2742,False
12,96.78774029957378,7172,False
13,98.99458588445509,13682,False
14,99.92454462792291,3494,False
15,98.22192882200844,13454,False
16,98.94899485356916,14928,False
17,97.06946554683047,13595,False
18,98.78994890834896,6795,False
19,98.69135457674835,1375,False
20,98.32714194234961,17859,False
21,96.99714174309655,7204,False
22,99.39803434608459,16295,False
23,99.09131003439764,4758,False
24,98.24606432557373,4085,False
25,97.55658037067452,15784,False
26,98.60073391061019,18854,False
27,99.32403501066209,17351,False
28,100.14731364254818,15273,False
29,101.01395326851936,5686,False
30,105.4346796039925,18350,False
31,104.58114844137461,13689,False
32,107.0597155269637,12813,True
33,101.84407844440496,3457,False
34,103.1065159655405,17552,False
35,105.46108637222045,6227,False
36,105.2210195726636,15551,False
37,103.46774862208557,3634,False
38,101.7755941567308,6330,False
39,103.10853672919494,6386,False
40,104.6527023704374,6340,False
41,105.79575088629774,13819,False
42,104.39691891626192,18373,False
43,104.8827845718699,18296,False
44,105.12783705377757,15089,False
45,105.58864924613691,4847,False
46,107.44503912286645,19251,False
47,107.926599718118,11299,False
48,109.40205073353732,11373,False
49,109.55001648066238,14326,False
50,110.18531217142562,15612,False
51,111.58530537065283,19105,False
52,108.38029072286773,12065,False
53,107.6895798920738,12591,False
54,106.681245586709,15165,False
55,105.32679162841497,5847,False
56,104.7487864122782,6846,False
57,107.92794185492049,12884,False
58,106.07508337440909,2218,False
59,108.14930695276712,7089,False
60,104.56985832154886,14641,False
61,103.87182095086209,19546,False
62,104.2104809761689,10870,False
63,105.43948179718929,8593,False
64,106.95002696632363,9367,False
65,108.66053148436646,14023,False
66,107.90531514063008,11345,False
67,106.91211000174002,1441,False
68,108.76250074030935,11245,False
69,108.34716107419986,8601,False
70,105.61778754353594,14315,False
71,103.25080779122284,17627,False
72,101.36947493922581,19286,False
73,102.38244113543197,12594,False
74,102.6744947883073,7888,False
75,104.10223513398648,9434,False
76,103.21646588726914,4352,False
77,103.54426343416546,18782,False
78,104.84792795845664,17098,False
79,104.20124364261483,17225,False
80,105.15753605512546,7234,False
81,115.45818012463845,49854,True
82,103.02379422012804,17275,False
83,102.24022747272244,11346,False
84,94.9238927246175,57552,True
85,100.80095927614174,10306,False
86,99.85906335193037,9412,False
87,99.8840194897211,13011,False
88,100.84902948163055,16446,False
89,101.75370785453784,7348,False
90,103.11686602851451,16373,False
91,102.91395564115795,5639,False
92,102.04636723591148,8653,False
93,101.8837977912909,18340,False
94,98.50292447518359,19134,False
95,95.69288879083895,18553,False
96,93.19462013435414,7004,False
97,91.35427315779808,17023,False
98,92.08762267155743,18785,False
99,90.43496404403662,19585,False
100,89.75356176093817,1397,False
101,92.11633396804214,15154,False
102,91.4623121603578,19938,False
103,92.82140864982988,15528,False
104,91.10429564640646,5430,False
105,90.73073871798756,15489,False
106,89.02308908319966,2999,False
107,88.42149555485457,10131,False
108,89.92007904631633,12898,False
109,86.8667084262905,9672,False
110,87.62473574715476,14296,False
111,88.04235818423662,5564,False
112,87.0023424111807,12518,False
113,84.52217157684065,13251,False
114,84.64419041980553,13042,False
115,83.75255028818944,6497,False
116,84.14320306113349,6802,False
117,84.17998528861591,5898,False
118,86.92040079074434,9773,False
119,86.50529741532795,12133,False
120,84.7525389569475,7888,False
121,85.05696569849479,8789,False
122,85.43203524200672,6441,False
123,87.7862517061022,5158,False
124,71.85448628046335,26982,True
125,89.90419002315646,16505,False
126,92.57421117319848,6523,False
127,90.39919339426203,17350,False
128,89.24990123723056,11848,False
129,87.61119575912392,4186,False
130,86.93081732763773,7953,False
131,84.56993931571897,1142,False
132,85.65108522640311,1744,False
133,85.27125761143756,7386,False
134,82.79944142846199,9634,False
135,81.1346186436574,16152,False
136,81.64495347101531,3551,False
137,83.02506432408553,16944,False
138,86.4077317671549,5455,False
139,91.59295966484234,3628,False
140,92.35525405107,14297,False
141,90.5454410225616,15712,False
142,86.76565900696353,12493,False
143,87.23146814769693,3198,False
144,85.82465479703441,3191,False
145,85.1146500668167,8411,False
146,84.07903387670612,9561,False
147,83.8426156540567,19973,False
148,85.64929750976454,6443,False
149,85.91874243717338,4659,False
150,85.64658029534048,18972,False
151,83.89082259238506,3925,False
152,81.12754643194164,1501,False
153,80.34231193009227,9033,False
154,80.25593810298294,8620,False
155,83.14444135536877,12773,False
156,83.3613558632081,17676,False
157,85.01601353255003,18725,False
158,84.17127586295898,6503,False
159,82.19996250740749,19635,False
160,80.6285262588275,13020,False
161,79.46748858585502,2323,False
162,82.92340779126701,18830,False
163,81.57229240730992,3621,False
164,82.9517766350662,12183,False
165,81.4672330542526,16024,False
166,82.99931470921996,5739,False
167,83.64079424994503,6142,False
168,83.37917789087683,10047,False
169,83.31123067328393,17812,False
170,82.22732010234621,5248,False
171,82.96418861453428,13605,False
172,82.21266639663287,9599,False
173,80.22195795265755,3125,False
174,78.19756553853026,14506,False
175,78.46795102289022,16818,False
176,80.98565978668326,11937,False
177,81.24521536008072,4350,False
178,81.05266795833712,3958,False
179,81.51733425442605,9046,False
180,83.67462142223512,10621,False
181,84.04256298632309,11491,False
182,83.35468597851332,5629,False
183,85.21952739198262,10514,False
184,85.95343800482205,6606,False
185,88.97960208516572,84222,True
186,88.9598851675763,16133,False
187,86.80777219154213,13401,False
188,84.46463913886704,1023,False
189,87.30009348517504,19848,False
190,90.36209244651586,1451,False
191,90.03823953767376,19989,False
192,89.35084666821544,1603,False
193,92.26561372596416,32436,True
194,89.98641276233906,3013,False
195,88.39046919073941,2808,False
196,89.5350962369121,13984,False
197,88.83125712232966,14829,False
198,88.8221579511939,3246,False
199,88.5322849671443,19556,False
200,89.13203220604875,7088,False
201,91.67671448735264,7048,False
202,91.84295556414479,6642,False
203,93.03342987501748,9762,False
204,89.29588869417842,4378,False
205,89.20892400894141,9070,False
206,87.71706586503348,4989,False
207,83.44709683515246,7904,True
208,84.11434856558296,8005,False
209,83.55413095755591,13773,False
210,85.09878410209575,15498,False
211,82.87097608089017,7713,False
212,82.92176086924277,7151,False
213,82.12267241592585,15961,False
214,81.58624426276718,13942,False
215,83.23898676969199,16810,False
216,84.13966845811261,18215,False
217,86.42060230107903,16603,False
218,86.15396500582112,18793,False
219,84.96310760744153,8916,False
220,84.58356307040256,8498,False
221,84.99478431544634,7109,False
222,85.29547122628044,5469,False
223,83.46551890601866,15227,False
224,83.61671120992212,14574,False
225,83.99925767254409,16226,False
226,88.33685834579283,4180,False
227,91.71576965557466,10333,False
228,90.16393086390046,5217,False
229,89.64718505711413,17967,False
230,87.06134283649874,6080,False
231,86.03883980929426,3734,False
232,86.58364319411048,11827,False
233,88.69717079584171,17702,False
234,87.41320128668379,18398,False
235,86.27702903413841,2825,False
236,82.65022993777113,7191,False
237,82.38177933746499,3916,False
238,80.64977378594295,6849,False
239,79.80029579346741,11142,False
240,78.41302082913899,6330,False
241,78.2653318556801,2282,False
242,75.56174802715626,10690,False
243,73.37690730535992,2003,False
244,76.56914692813146,5307,False
245,74.62277551062904,1009,False
246,73.00369459780856,2649,False
247,75.73559954971714,9290,False
248,80.26628459673879,17163,False
249,78.40740168686412,15717,False
250,77.83205412146718,2877,False
251,78.36555364663174,1661,False
252,81.12234254414248,7423,False
253,79.5369167389366,13392,False
254,79.14769931137312,15187,False
255,80.38780374597424,16639,False
256,81.08984937620842,7501,False
257,80.48208958486588,4192,False
258,80.26697055557018,1500,False
259,78.08986622481723,3790,False
260,77.71877166022962,2238,False
261,77.30580655425834,17355,False
262,77.6656028579749,6099,False
263,76.80777894109222,16639,False
264,77.53556185589125,11510,False
265,79.12200356630296,11239,False
266,79.36834384933866,9641,False
267,79.92867902463185,16564,False
268,80.01369694249422,1825,False
269,80.01383199467301,2762,False
270,78.86743137062707,9044,False
271,79.36823650721672,8495,False
272,79.21395733381274,11366,False
273,82.60051194877428,15018,False
274,85.24103731351094,12163,False
275,85.90138115813615,5891,False
276,84.60038042415722,7218,False
277,82.73895523774254,15294,False
278,84.73369962585025,4827,False
279,85.18014591103722,10579,False
280,86.0020596628202,11237,False
281,83.05304713844146,15255,False
282,84.60795521165967,14572,False
283,85.38041160606585,9828,False
284,83.50513178756931,6874,False
285,82.72133855219938,7990,False
286,83.15879198090904,8820,False
287,83.24609929165673,5164,False
288,82.76107554054865,12882,False
289,82.58995668216059,4959,False
290,82.17478767778472,13324,False
291,82.42590643683513,15278,False
292,84.8877355654998,19274,False
293,80.6401332436813,3259,False
294,80.25904382980099,15434,False
295,80.54287890245101,2633,False
296,81.02109716451389,7407,False
297,80.42067444391432,4349,False
298,77.64419997201034,4083,False
299,78.15521317828669,4331,False
300,80.90242236001951,1834,False
301,73.42803502917194,33278,True
302,79.82550767555911,2161,False
303,79.3027331480883,8571,False
304,79.20552900542307,14284,False
305,69.79415897025615,99085,True
306,77.03801593023942,17220,False
307,79.06734085800788,3607,False
308,79.99411025337102,19767,False
309,82.81417498740508,13417,False
310,84.7874452057867,4411,False
311,85.53530490654964,9525,False
312,88.5713023693383,18439,False
313,89.3523701018203,8465,False
314,90.84434349070334,4489,False
315,90.30710249508951,17626,False
316,90.42737370906501,19106,False
317,89.17480563141548,19536,False
318,90.95730588304342,19158,False
319,88.83885919645492,17584,False
320,90.23985353517499,9635,False
321,89.89642223656502,4653,False
322,92.0270987593156,12725,False
323,93.41953384559721,5195,False
324,96.8839032858247,9989,False
325,98.31030778750177,13465,False
326,95.26743835060773,18985,False
327,95.13995457865802,6492,False
328,92.93579419579065,5786,False
329,91.97743478505728,14959,False
330,94.79985138154302,1122,False
331,96.01635271785324,11761,False
332,94.68351501812327,15172,False
333,92.78319749034434,11467,False
334,92.84404998483544,8295,False
335,90.61230320028257,16742,False
336,89.40415836021151,8049,False
337,89.96380156807663,14500,False
338,92.06672863124824,9818,False
339,93.19451376641426,1504,False
340,89.02017813204904,11079,False
341,89.56372644251721,1939,False
342,89.69285133841366,18688,False
343,90.43839280166507,12429,False
344,93.40950157684529,8068,False
345,89.63342564340424,10237,False
346,88.58001217713756,12764,False
347,89.63307230483842,5943,False
348,86.84218226644741,6479,False
349,89.4438858934559,8954,False
350,90.10526406905494,5912,False
351,91.64388651455965,15400,False
352,90.60336866891879,2972,False
353,92.09002838213341,16705,False
354,94.07911705418385,7622,False
355,94.51831823355057,11663,False
356,94.96246206062152,3997,False
357,95.47730183296903,8322,False
358,94.87681169952373,61348,True
359,93.56637366273348,6143,False
360,93.28138894436235,3513,False
361,93.99940851285204,10916,False
362,95.8979854385969,4087,False
363,93.88909573680027,6980,False
364,93.65464924190256,9558,False
365,96.47107123745053,11717,False
366,90.30521666296146,92036,True
367,93.49672589886667,13856,False
368,93.87579158638538,17041,False
369,95.47460025578192,2255,False
370,95.49642071064734,7884,False
371,98.06867309433486,1020,False
372,99.76364703317988,1179,False
373,101.45752724437295,5033,False
374,102.58816653194411,12364,False
375,127.67959195092403,71980,True
376,107.03676979440982,15697,False
377,102.83255363852486,13279,False
378,106.1854463881686,15785,False
379,105.21786140795861,4267,False
380,105.4451254861215,16956,False
381,108.24332408628933,17915,False
382,104.82963439939692,2806,False
383,102.23801329060318,9929,False
384,99.01565806261272,16770,False
385,97.45544255154311,10045,False
386,98.31612046165712,16968,False
387,99.3522646151874,18775,False
388,99.90275338034661,10018,False
389,97.1194757137113,2130,False
390,80.60207362930497,22383,True
391,92.83529782234355,5088,False
392,91.9634680028928,10008,False
393,86.11739454172809,24258,True
394,94.12448354721528,9814,False
395,94.38508170377882,4714,False
396,95.83094883821218,6722,False
397,96.27126819847327,13911,False
398,97.29729723559856,1512,False
399,95.93565879734615,5067,False
400,95.59165425242651,17954,False
401,95.96859855412566,2883,False
402,97.55649138848149,8880,False
403,96.79126819616883,4932,False
404,89.74471913553104,8964,True
405,97.28680367885097,9031,False
406,97.0583662592125,10907,False
407,98.68203290175731,4346,False
408,94.82581525224667,2478,False
409,92.39863801268042,3559,False
410,89.69979919806389,13379,False
411,85.60949570005197,17345,False
412,84.45601947388157,4425,False
413,87.21662128065888,28348,True
414,85.24435661726335,7532,False
415,85.58223423067736,7854,False
416,87.4418611783314,11282,True
417,89.82072956531003,2050,False
418,89.69661500057778,10977,False
419,92.15802340136422,7790,False
420,92.3279841473136,7502,False
421,90.79455509924503,6031,False
422,89.72157919767962,18657,False
423,87.10380607340346,12599,False
424,85.57026947250235,8955,False
425,84.95974616681555,4902,False
426,86.33622530381797,16221,False
427,89.35924152093519,17878,False
428,86.92285807442202,1614,False
429,87.60846151188346,18663,False
430,85.80409280925895,14288,False
431,86.62259110962415,2896,False
432,86.39578724227948,15309,False
433,83.28935911816134,3040,False
434,84.85014827427702,1966,False
435,83.82964676290557,3191,False
436,82.93927554912713,9736,False
437,81.18363373916613,12771,False
438,80.1282123671255,8739,False
439,80.81687681558697,3317,False
440,80.51157221993341,4784,False
441,81.04253727917882,17195,False
442,81.63128682862265,19289,False
443,83.81616080633627,15331,False
444,83.24350564898957,2964,False
445,80.82068694123855,16576,False
446,82.56430197159249,14147,False
447,82.01873068338674,10995,False
448,83.86761074908382,3721,False
449,84.5131408511023,19936,False
450,84.2917743812997,9409,False
451,84.88180866558025,1839,False
452,88.25938658992523,4989,False
453,92.00286007738492,8624,False
454,92.13061395132632,2184,False
455,92.4262564441373,7154,False
456,94.43727920999669,9899,False
457,92.85347206325271,19024,False
458,93.47407161237349,2641,False
459,93.42573400089942,11960,False
460,94.01412116518753,18399,False
461,92.46013882600529,16317,False
462,89.56693923729296,18573,False
463,85.92944920067195,4236,False
464,84.03042361680039,16225,False
465,83.26309497480491,19594,False
466,82.77628288330031,7194,False
467,86.04635864269683,10474,False
468,87.9708995096816,11085,False
469,86.29436065038453,10379,False
